,Product ID,Name,$ Price:,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
15,16,Гвоздика молотая,3936,197,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2017-02-01,2017-02-01,3.0,Pending
16,17,Monster Energy,586,977,Напитки,Помогает поддерживать нормальный уровень гормонов в организме.,2024-02-06,2024-02-06,0.63,Cancelled
17,18,Сметана,9629,241,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2030-01-03,2030-01-03,0.44,Awaiting Review
18,19,Донат магний,3351,512,Напитки,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2026-02-01,2026-02-01,3.52,Returned
19,20,Сорго,9316,573,Бакалея,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2008-01-01,2008-01-01,2.86,Returned
20,21,Косулятина,8913,901,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2008-09-04,2008-09-04,1.67,Shipping
21,22,Абрикос,1838,738,Фрукты,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2024-02-13,2024-02-13,2.37,Returned
22,23,Кубай,7383,740,Напитки,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2030-09-16,2030-09-16,2.76,Awaiting Payment
23,24,Топлёное молоко,9004,381,Молочные продукты,"Подходит для использования в диетах, направленных на снижение веса.",2021-05-19,2021-05-19,1.43,In Stock
24,25,Груша,7364,596,Фрукты,Отличается удобством использования и экономичностью в расходе.,2009-01-10,2009-01-10,1.38,Pending
25,26,Петрушка корневая,1337,240,Овощи,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2027-08-10,2027-08-10,3.92,Available for Pickup
26,27,Шпинат,2362,254,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,2021-04-10,2021-04-10,1.69,Out of Stock
27,28,Консервированные бобы,7308,450,Бакалея,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2022-01-18,2022-01-18,3.54,Backorder
28,29,Цветная капуста,9964,38,Овощи,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2023-04-25,2023-04-25,2.48,Refunded
29,30,Контейнеры для хранения продуктов,5255,539,Товары для дома,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2018-02-12,2018-02-12,2.08,Out of Stock
30,31,Coca-Cola Zero,9460,821,Напитки,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2008-01-11,2008-01-11,0.81,Cancelled
31,32,Полотенца для рук,3846,540,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2021-01-08,2021-01-08,2.45,Awaiting Payment
32,33,Айва,6699,86,Фрукты,Служит основой для создания множества кулинарных шедевров.,2027-06-06,2027-06-06,4.09,Pending
33,34,Простокваша,138,851,Молочные продукты,Помогает поддерживать нормальный уровень кислотности желудка.,2019-10-05,2019-10-05,0.4,Pending
34,35,Пакеты для фестиваля,6801,465,Товары для дома,Подходит для использования в качестве замены традиционных молочных продуктов.,2023-03-10,2023-03-10,1.17,Temporarily Unavailable
35,36,Мортаделла,2000,317,Мясо,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2007-02-05,2007-02-05,0.74,Awaiting Payment
36,37,Сорго,924,669,Бакалея,Способствует нормализации обмена веществ в организме.,2022-04-05,2022-04-05,3.08,Awaiting Payment
37,38,Помидор,3249,831,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2001-03-10,2001-03-10,4.69,Cancelled
38,39,Мороженое,5836,178,Молочные продукты,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2030-02-01,2030-02-01,3.18,Awaiting Payment
39,40,Растительное масло тыквенное,3301,421,Бакалея,Поддерживает иммунитет и общее состояние здоровья.,2028-06-05,2028-06-05,1.24,Awaiting Review
40,41,Шпинат,9800,180,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2014-02-01,2014-02-01,0.06,Pending
41,42,Пакеты для Дня космонавтики,4919,868,Товары для дома,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2017-07-03,2017-07-03,3.56,In Stock
42,43,Павловская,4918,687,Напитки,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1998-04-07,1998-04-07,1.52,Delivered
43,44,Кондиционер для волос,5796,389,Товары для дома,Является важным компонентом сбалансированного рациона питания.,1995-07-03,1995-07-03,2.9,Returned
44,45,Сбитень медовый,3094,240,Напитки,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2022-05-05,2022-05-05,2.85,Awaiting Review
45,46,Козлятина,1487,818,Мясо,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2018-09-01,2018-09-01,4.72,Temporarily Unavailable
46,47,Паштет,9503,696,Мясо,Помогает улучшить работу мозга и повысить концентрацию внимания.,2022-04-10,2022-04-10,2.81,Awaiting Review
47,48,Пена для бритья,6319,407,Товары для дома,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2026-04-01,2026-04-01,3.06,Backorder
48,49,Кровяная колбаса,6974,107,Мясо,Является важным компонентом рациона для поддержания гормонального баланса.,2028-02-07,2028-02-07,0.14,In Stock
49,50,Гречка,1226,29,Бакалея,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2023-08-06,2023-08-06,0.88,Out of Stock
50,51,Ряженка,3501,423,Молочные продукты,Широко используется в традиционной и современной кухне.,2015-10-04,2015-10-04,3.14,Pending
51,52,Бадьян,2624,891,Бакалея,Помогает поддерживать нормальный уровень глюкозы в крови.,2010-09-02,2010-09-02,1.9,Sold
52,53,Яблоко,4492,718,Фрукты,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2007-01-02,2007-01-02,4.89,Shipping
53,54,Йогурт,8865,889,Молочные продукты,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2001-08-05,2001-08-05,3.89,On Backorder
54,55,Чай черный,9554,629,Напитки,Отличается удобством использования и экономичностью в расходе.,2021-01-17,2021-01-17,3.87,Awaiting Payment
55,56,Камамбер,6434,787,Молочные продукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2016-02-01,2016-02-01,4.96,Backorder
56,57,Морковь,4809,626,Овощи,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2019-02-23,2019-02-23,1.99,Sold
57,58,Шпинат,7457,372,Овощи,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2026-01-15,2026-01-15,3.66,Awaiting Payment
58,59,Каша из сорго,2783,994,Бакалея,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2027-07-02,2027-07-02,2.86,Delivered
59,60,Куриные грудки,9410,861,Мясо,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2027-01-11,2027-01-11,0.87,Shipping
60,61,Сердце,7312,938,Мясо,Прошел все необходимые сертификации и соответствует международным стандартам.,1996-06-09,1996-06-09,4.96,Sold
61,62,Зира молотая,2234,469,Бакалея,Прошел сертификацию на соответствие требованиям органических стандартов.,2026-01-08,2026-01-08,4.9,Returned
62,63,Масло оливковое,1758,901,Бакалея,Отличается хорошей совместимостью с другими продуктами питания.,2023-02-10,2023-02-10,1.11,Delivered
63,64,Источник Троицкий,1988,533,Напитки,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2013-03-18,2013-03-18,4.6,Returned
64,65,Цветная капуста,7044,601,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2017-09-16,2017-09-16,0.18,Pending
65,66,Горох,9989,285,Овощи,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2019-07-01,2019-07-01,1.22,Temporarily Unavailable
66,67,Источник Троицкий,2848,127,Напитки,"Является источником важных нутриентов, необходимых для роста и развития детей.",2025-09-13,2025-09-13,0.01,Temporarily Unavailable
67,68,Ополаскиватель для полости рта,8613,359,Товары для дома,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2027-02-16,2027-02-16,1.98,Temporarily Unavailable
68,69,Кавказская,5339,401,Напитки,Отличается натуральным составом и отсутствием искусственных добавок.,2017-03-06,2017-03-06,4.44,Out of Stock
69,70,Мороженое,304,917,Молочные продукты,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2000-02-10,2000-02-10,0.29,Out of Stock
70,71,Эндивий,2385,396,Овощи,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2025-01-15,2025-01-15,4.09,Out of Stock
71,72,Лук-порей,271,260,Овощи,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2005-10-11,2005-10-11,2.69,Awaiting Payment
72,73,Чувашская,7576,832,Напитки,Помогает поддерживать нормальный уровень энергии и выносливости.,2024-02-09,2024-02-09,0.32,Temporarily Unavailable
73,74,Спаржа,8310,967,Овощи,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2003-02-04,2003-02-04,3.95,In Stock
74,75,Карбонад,1845,308,Мясо,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1996-01-04,1996-01-04,4.07,Available for Pickup
75,76,Сковороды,6597,250,Товары для дома,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2021-03-01,2021-03-01,0.1,Available for Pickup
76,77,Нектарин,7310,262,Фрукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2019-06-17,2019-06-17,4.54,In Stock
77,78,Инжир,3293,204,Фрукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,2024-04-03,2024-04-03,0.82,Delivered
78,79,Камамбер,652,754,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2024-06-08,2024-06-08,1.31,Awaiting Payment
79,80,Молоко,3592,159,Молочные продукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2008-03-15,2008-03-15,4.13,Temporarily Unavailable
80,81,Йогурт,4921,689,Молочные продукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2010-03-01,2010-03-01,0.9,Awaiting Payment
81,82,Одеяла,2134,106,Товары для дома,Является неотъемлемой частью рациона многих народов мира.,2017-11-06,2017-11-06,1.41,Temporarily Unavailable
82,83,Каша из дробленой пшеницы,5197,856,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2023-09-06,2023-09-06,1.81,Awaiting Review
83,84,Верблюжье молоко,7176,890,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2026-05-24,2026-05-24,1.64,New
84,85,Яблоко,7923,919,Фрукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2016-01-07,2016-01-07,3.58,Shipping
85,86,Хурма,6585,726,Фрукты,Отличается простотой в использовании и хранении.,2014-01-01,2014-01-01,4.83,Backorder
86,87,Тыква,6710,808,Овощи,Помогает улучшить когнитивные функции и память.,2009-01-09,2009-01-09,2.66,Out of Stock
87,88,Индюшатина,7963,296,Мясо,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2028-05-08,2028-05-08,3.93,In Stock
88,89,Эндивий,5068,350,Овощи,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2024-01-05,2024-01-05,2.59,Awaiting Payment
89,90,Отбивная,4279,863,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2014-04-03,2014-04-03,2.0,Sold
90,91,Крыжовник,4049,396,Фрукты,Является важным компонентом сбалансированного рациона питания.,2024-04-01,2024-04-01,3.45,New
91,92,Гусиные потроха,3784,791,Мясо,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2002-03-09,2002-03-09,1.46,In Stock
92,93,Крыжовник,4742,785,Фрукты,Широко используется в традиционной и современной кухне.,2006-01-22,2006-01-22,2.13,New
93,94,Кондиционер для волос,7345,321,Товары для дома,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2016-01-01,2016-01-01,3.31,New
94,95,Айран,4466,793,Молочные продукты,Помогает сохранять бодрость и активность в течение дня.,2019-01-09,2019-01-09,0.69,Out of Stock
95,96,Катык,2422,812,Молочные продукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2025-01-28,2025-01-28,2.57,Sold
96,97,Тан,7603,267,Молочные продукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2024-04-12,2024-04-12,3.92,On Backorder
97,98,Индюшатина,743,591,Мясо,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2020-01-13,2020-01-13,2.99,Delivered
98,99,Энергетический напиток,450,559,Напитки,Подходит для использования в качестве основы для смузи и коктейлей.,2020-05-07,2020-05-07,3.91,Awaiting Review
99,100,Читинская,4297,82,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2000-09-22,2000-09-22,4.32,In Stock
100,101,Пакеты для Всемирного дня поэзии,3775,399,Товары для дома,Отличается хорошим сочетанием с различными специями и приправами.,2022-04-02,2022-04-02,0.29,On Backorder
101,102,Прошутто,6420,559,Мясо,Может быть использован в выпечке для придания ей особой пышности и аромата.,2016-05-12,2016-05-12,1.75,Cancelled
102,103,Пакеты для рыбалки,863,987,Товары для дома,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2021-02-01,2021-02-01,2.17,Available for Pickup
103,104,Зефир,6289,33,Бакалея,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2019-01-03,2019-01-03,2.08,Delivered
104,105,Пакеты для пикников,5548,581,Товары для дома,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2027-08-03,2027-08-03,1.16,Pending
105,106,Топлёное молоко,2139,510,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2018-03-01,2018-03-01,3.63,Delivered
106,107,Феодосийская,6472,433,Напитки,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2029-02-21,2029-02-21,3.32,In Stock
107,108,Реутовская,2159,485,Напитки,Помогает поддерживать здоровый цвет лица и упругость кожи.,2027-01-01,2027-01-01,1.02,Pending
108,109,Черешня,2135,292,Фрукты,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2026-07-12,2026-07-12,3.69,Returned
109,110,Батат,5965,425,Овощи,Подходит для использования в рецептах традиционной кухни разных стран.,2028-05-17,2028-05-17,2.64,New
110,111,Манго,1648,875,Фрукты,Помогает улучшать качество сна и снижать уровень тревожности.,2026-04-04,2026-04-04,3.24,Sold
111,112,Хлебопечка,1584,576,Товары для дома,Помогает поддерживать нормальный уровень гемоглобина в крови.,2026-01-01,2026-01-01,0.97,Shipping
112,113,Электрочайник,5866,45,Товары для дома,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2017-01-01,2017-01-01,1.13,Temporarily Unavailable
113,114,Каша из дробленного риса,2578,880,Бакалея,Помогает поддерживать нормальный уровень глюкозы в крови.,2026-02-09,2026-02-09,2.6,Shipping
114,115,Турнепс,9713,45,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2026-05-04,2026-05-04,2.83,Awaiting Payment
115,116,Кабачок,9162,524,Овощи,"Помогает улучшить состояние волос, ногтей и кожи.",2025-02-14,2025-02-14,3.03,Out of Stock
116,117,Противни,3562,997,Товары для дома,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2012-03-10,2012-03-10,4.73,Available for Pickup
117,118,Малина,3062,589,Фрукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2017-04-08,2017-04-08,4.38,Backorder
118,119,Аква Минерале,6576,735,Напитки,Помогает поддерживать нормальный уровень pH в организме.,2001-02-08,2001-02-08,3.56,On Backorder
119,120,Хабаровская,5234,993,Напитки,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2027-03-14,2027-03-14,4.34,On Backorder
120,121,Ласси,713,820,Молочные продукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2028-02-05,2028-02-05,3.77,Awaiting Review
121,122,Пылесос,7625,732,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2029-07-10,2029-07-10,3.94,Sold
122,123,Нафтуся,9972,693,Напитки,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2028-02-09,2028-02-09,2.99,Available for Pickup
123,124,Крыжовник,6696,155,Фрукты,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2028-02-04,2028-02-04,4.55,Awaiting Payment
124,125,Биточки,9732,532,Мясо,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2021-01-02,2021-01-02,0.47,Cancelled
125,126,Белокуриха,3426,403,Напитки,Помогает поддерживать здоровый цвет лица и упругость кожи.,2015-02-13,2015-02-13,3.05,Sold
126,127,Бамия,5477,99,Овощи,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2011-01-05,2011-01-05,3.26,In Stock
127,128,Чеддер,1794,240,Молочные продукты,Подходит для использования в рационе людей с повышенным давлением.,1995-06-01,1995-06-01,1.8,Returned
128,129,Стиральный порошок,4227,393,Товары для дома,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2026-01-10,2026-01-10,4.25,Backorder
129,130,Иркутская,2188,429,Напитки,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2026-03-02,2026-03-02,3.57,Sold
130,131,Белый шоколад,8938,518,Бакалея,Помогает поддерживать нормальный уровень кислотности желудка.,1999-01-02,1999-01-02,2.09,New
131,132,Киноа,6997,322,Бакалея,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2028-06-02,2028-06-02,2.32,Shipping
132,133,Кабачок,3917,659,Овощи,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2028-03-06,2028-03-06,2.26,Returned
133,134,Perrier,4851,715,Напитки,Помогает улучшать качество сна и снижать уровень тревожности.,2020-05-07,2020-05-07,4.63,Delivered
134,135,Конина,9525,821,Мясо,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2010-05-10,2010-05-10,2.36,Out of Stock
135,136,Панчетта,8609,888,Мясо,Подходит для использования в рецептах традиционной кухни разных стран.,2027-01-01,2027-01-01,3.77,Shipping
136,137,Абрикос,7203,486,Фрукты,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2004-07-01,2004-07-01,1.43,Backorder
137,138,Рулька,3400,939,Мясо,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2026-05-10,2026-05-10,2.01,Out of Stock
138,139,Лук-порей,3500,955,Овощи,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2018-04-03,2018-04-03,2.99,Out of Stock
139,140,Растительное масло льняное,6217,612,Бакалея,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2024-05-06,2024-05-06,3.36,Backorder
140,141,Щавель,9329,657,Овощи,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2025-02-01,2025-02-01,0.16,Shipping
141,142,Консервированные бобы,1980,237,Бакалея,Способствует нормализации обмена веществ в организме.,2013-06-12,2013-06-12,4.95,Returned
142,143,Чебуреки,5801,555,Мясо,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2024-06-06,2024-06-06,4.47,Cancelled
143,144,Пакеты для инструментов,6854,863,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2026-01-02,2026-01-02,0.12,Cancelled
144,145,Краснодарская,4205,269,Напитки,Прошел сертификацию на соответствие требованиям органических стандартов.,2021-03-08,2021-03-08,1.06,Available for Pickup
145,146,Шейка,6966,534,Мясо,"Помогает улучшить состояние волос, ногтей и кожи.",2025-01-02,2025-01-02,3.79,In Stock
146,147,Сырокопченая колбаса,5272,554,Мясо,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2001-05-01,2001-05-01,3.56,Backorder
147,148,Грудинка копченая,6721,135,Мясо,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2025-05-10,2025-05-10,4.1,Delivered
148,149,Пахта,6897,175,Молочные продукты,Отличается хорошим сочетанием с различными специями и приправами.,2012-08-01,2012-08-01,0.8,Cancelled
149,150,Клюква,256,122,Фрукты,Способствует снижению уровня стресса и улучшению настроения.,2004-06-03,2004-06-03,1.97,Shipping
150,151,Лопатка,7825,168,Мясо,Помогает поддерживать нормальный уровень pH в организме.,2016-01-08,2016-01-08,2.39,Delivered
151,152,Моющее средство для пола,2966,245,Товары для дома,Часто рекомендуется врачами-диетологами как часть здорового питания.,2027-03-17,2027-03-17,4.54,In Stock
152,153,Ряженка,5334,769,Молочные продукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2004-03-04,2004-03-04,0.69,Cancelled
153,154,Пакеты для спортивного инвентаря,6208,917,Товары для дома,Подходит для использования в специализированных диетах и лечебных программах.,2030-03-18,2030-03-18,4.62,Sold
154,155,Бамия,8197,455,Овощи,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2027-06-03,2027-06-03,2.3,Sold
155,156,Гамбургеры,3763,213,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2026-02-09,2026-02-09,0.64,On Backorder
156,157,Свекла,9208,701,Овощи,Служит основой для создания множества кулинарных шедевров.,2006-01-03,2006-01-03,0.92,Backorder
157,158,Пакеты для фестиваля,420,737,Товары для дома,"Является источником витаминов группы B, необходимых для энергетического обмена.",2030-07-12,2030-07-12,1.46,New
158,159,Малина,5892,283,Фрукты,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2023-06-15,2023-06-15,2.34,Shipping
159,160,Куриные бедра,628,508,Мясо,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1999-01-02,1999-01-02,1.05,Cancelled
160,161,Айва,3135,228,Фрукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2010-07-03,2010-07-03,1.7,Awaiting Payment
