job;salary;id;city;year;age
Программист;59057;2558836;Гранада;2011;45
Бухгалтер;175365;4704697;Душанбе;2007;62
Менеджер;34014;2924610;Белград;2005;60
IT-специалист;129974;5314027;Мартоса;2013;38
Оператор call-центра;174427;9319460;Тудела;2006;45
Медсестра;128435;3843612;Душанбе;2008;39
Учитель;24884;6914751;Бланес;2000;19
Инженер;189163;7538500;Хихон;2014;53
Строитель;112735;6372361;Барселона;2001;44
Строитель;60990;5014274;Фигерас;2018;33
Учитель;85441;2169256;Барселона;2016;39
Психолог;149500;5852979;Белград;2013;25
Косметолог;41356;9072270;Будапешт;2006;55
Бухгалтер;68322;8108395;Вальядолид;2010;27
Повар;36391;8907968;Вильнюс;2004;64
Программист;94566;2620952;Касерес;2018;41
Программист;34710;7688740;Картахена;2007;21
IT-специалист;69328;3694370;Самора;2020;31
Косметолог;165803;9717496;Мартоса;2010;39
Бухгалтер;116524;6597121;Рига;2008;53
Медсестра;105214;9532928;Камбадос;2002;52
Повар;40149;4846005;Льейда;2004;57
Архитектор;186216;4239488;Варшава;2016;45
Продавец;105422;3736288;Мерида;2021;39
Бухгалтер;42992;2637424;Льейда;1999;59
IT-специалист;68270;4706210;Кадакес;2021;55
Оператор call-центра;182559;8429964;Барселона;2018;48
Медсестра;58923;5444560;Будапешт;2012;38
Бухгалтер;43233;1702780;Санкт-Петербург;1999;27
Учитель;145579;1311814;Санкт-Петербург;2002;34
Медсестра;64981;3912505;Бишкек;2007;40
Медсестра;119487;8481331;Картахена;2022;45
Психолог;113181;9965011;Севилья;1999;47
Повар;152547;9554100;Артейхо;2008;63
Бухгалтер;92451;6901600;Баку;2022;29
IT-специалист;20570;9300757;Хихон;2022;28
Психолог;24856;7876968;Луго;2007;34
Повар;148976;4508444;Картахена;2012;38
Косметолог;60245;1988657;Ереван;2017;34
Архитектор;133350;6508187;Таллин;2008;28
Косметолог;107115;1757895;Фигерас;2012;44
Инженер;136148;5258827;Рига;2004;39
Оператор call-центра;105594;5756536;Пласенсия;1999;52
Психолог;165189;9908231;Ла-Корунья;2015;62
Оператор call-центра;123463;7472247;Сьюдад-Реаль;2013;19
Программист;198650;3087233;Баку;2020;63
Повар;158222;8931504;Краков;2014;32
Инженер;69479;4496492;Хихон;2021;51
Водитель;142895;9356066;Варшава;2002;63
Психолог;67942;2881042;Варшава;2020;38
Менеджер;88705;5542177;Сараево;2016;44
Водитель;151375;1221357;Сьюдад-Реаль;2005;36
Строитель;149350;6595870;Севилья;2004;31
IT-специалист;198244;5652479;Сьюдад-Реаль;2006;64
Косметолог;50082;5150831;Ла-Корунья;2010;31
Косметолог;159774;8732081;Мартоса;2001;52
Медсестра;164330;9284972;Афины;2020;64
Оператор call-центра;141261;9635447;Авилес;2015;51
Инженер;143127;6050861;Сеговия;2008;30
IT-специалист;161434;1042145;Мерида;2007;26
Учитель;116586;1305239;Кадакес;2022;34
IT-специалист;163697;2210132;Валенсия;2021;59
Инженер;115893;1546979;Астана;2009;39
Врач;101576;5087634;Пласенсия;2009;54
Архитектор;193396;4419420;Валенсия;2012;61
Психолог;135374;5162086;Бильбао;2012;65
Оператор call-центра;120476;8431834;Ла-Корунья;2009;65
Психолог;190642;5049598;София;2007;49
Медсестра;192086;2640560;Краков;2014;23
Водитель;89662;2908200;Вроцлав;2008;39
Менеджер;134796;8614531;Фигерас;2003;30
Медсестра;154320;2607981;Гранада;2013;59
Программист;181118;7149482;Вальядолид;2019;52
Продавец;27855;7072775;Куэнка;2014;23
Медсестра;64385;5609124;Авилес;2008;65
Инженер;110031;2456210;Махадаонда;2006;30
Продавец;157785;3644018;Варшава;2022;45
Архитектор;176213;5209242;Прага;2013;29
Бухгалтер;74720;7215704;Луарка;2013;61
Архитектор;165570;8985260;Ташкент;2009;42
Менеджер;163350;7845540;Кадакес;2021;60
Менеджер;168853;6291371;Любляна;2019;28
Бухгалтер;102962;9933029;Луарка;2002;42
Инженер;48062;8725968;Хихон;2001;38
Медсестра;140912;5547025;Москва;2008;28
Учитель;172628;2571580;Хихон;2022;33
Бухгалтер;67154;2845203;Вильнюс;2007;29
Строитель;123813;7693333;Бургос;2002;64
Учитель;113529;2057934;Тарраса;2020;24
Оператор call-центра;36838;3724705;Лас-Росас;2021;57
Архитектор;132267;9300953;Овьедо;2022;46
Строитель;24074;5517632;Малага;2005;27
Программист;164183;8129511;Таллин;2007;47
Бухгалтер;172123;1443844;Артейхо;2005;18
Учитель;161687;3261448;Ташкент;2017;53
Продавец;124120;7928042;Сараево;2007;23
Архитектор;97167;6384532;Вроцлав;2012;20
Медсестра;92429;8473406;Санкт-Петербург;2013;63
Инженер;199204;8269841;Тирана;2019;37
Продавец;186247;1589699;Семана;2015;49
Косметолог;23244;8824738;Бишкек;1999;49
Медсестра;94638;1163301;Льейда;2016;56
Врач;92144;1907966;Кадакес;2017;53
Программист;193862;8696194;Фигерас;2022;65
Повар;36366;2950597;Мадрид;2019;35
Строитель;47236;8566674;Касерес;2006;50
Архитектор;153814;1689428;Бургос;2015;27
Инженер;108445;7698372;Минск;2014;59
Медсестра;117472;6685694;Тирана;2009;27
Строитель;58210;8947676;Ташкент;2020;40
Продавец;94960;1478587;Вильнюс;2008;50
Медсестра;32289;1680705;Сараево;2005;31
Водитель;193012;9800499;Сараево;2020;49
Учитель;110455;1048820;Трухильо;2019;65
Медсестра;127626;3159042;Кордова;2021;31
Психолог;117526;7346708;Трухильо;2009;34
Архитектор;29090;9067066;Минск;2002;36
Медсестра;48390;1527419;София;2005;25
Медсестра;84866;7641088;Вильнюс;2013;59
Менеджер;137772;3548788;Баку;2000;28
Бухгалтер;194191;4144001;Любляна;2013;34
Программист;106498;3551789;Сория;2012;57
Медсестра;86956;7251279;Бургос;2007;62
Программист;110636;1168904;Бланес;2015;54
Программист;86283;1848724;Картахена;1999;53
Психолог;75372;1063186;Мадрид;2021;41
Менеджер;143678;4164898;Мадрид;2019;19
Архитектор;101233;8214666;Вроцлав;2007;28
Оператор call-центра;129529;6875467;Сараево;2000;43
Инженер;136567;7221531;Мартоса;2002;20
Врач;90300;5980120;Скопье;2019;28
Менеджер;132897;2437307;Овьедо;2003;40
Менеджер;34347;4471386;Бильбао;2009;56
Врач;47017;6132998;Ла-Корунья;2003;33
Строитель;32722;6932559;Мурсия;2002;34
Программист;106807;3205759;Луарка;2021;20
Менеджер;74393;8160945;Льейда;2020;35
Архитектор;193940;1167447;Сан-Себастьян;2013;18
Психолог;167126;7771707;Сория;2018;31
Косметолог;85482;6628559;Тбилиси;2013;59
Учитель;171376;6893138;Астана;2012;39
Медсестра;93408;7391148;Ла-Корунья;2010;58
Инженер;45770;8064977;Вильявисиоса;2003;54
Программист;152997;7361942;Ереван;2009;57
IT-специалист;160478;9818193;Лас-Росас;2021;50
Повар;88298;5857335;Белград;2010;28
Врач;166346;1071279;Виго;2001;38
Водитель;188877;6862539;Хихон;2010;43
IT-специалист;158030;2917448;Сьюдад-Реаль;2012;29
Программист;146993;7955590;Тбилиси;2020;31
Архитектор;145739;1962556;Рига;2018;23
Оператор call-центра;193859;2074232;Подгорица;2018;19
Водитель;46438;7012848;Осера;2000;59
Оператор call-центра;129314;8562507;Фигерас;2011;19
Повар;132507;9201342;София;1999;58
Повар;91940;4477304;Куэнка;2000;33
Водитель;188201;4382814;Будапешт;2020;37
Продавец;73849;4615910;Бишкек;2010;38
Строитель;178258;7790271;Душанбе;2017;31
Менеджер;129080;4907068;Санкт-Петербург;2009;63
Менеджер;122830;5183254;Барселона;2016;46
Бухгалтер;131510;9281859;Махадаонда;2011;39
Продавец;183050;9691034;Подгорица;2016;21
Оператор call-центра;74484;3147985;Осера;1999;33
Водитель;199103;2932674;Трухильо;2013;25
Учитель;24985;5458581;Малага;2002;59
Строитель;112637;3650408;Мурсия;2011;33
Водитель;192520;8703678;Краков;2001;36
Архитектор;111792;5925868;Эльче;2011;37
Программист;164308;6905925;Вроцлав;2006;36
Медсестра;173394;9720560;Москва;2012;60
Водитель;130795;5221787;Кишинев;2004;38
Водитель;98246;1295217;Гранада;2022;63
Программист;120265;8743309;Трухильо;2020;45
Архитектор;142770;4933478;Семана;2004;19
Программист;196607;1377578;Хихон;1999;59
Медсестра;51379;9004264;Сантьяго-де-Компостела;2017;23
Продавец;73385;2727744;Луарка;2002;28
Инженер;169186;6285225;Ташкент;2022;26
Медсестра;108520;8727553;Вильнюс;2019;57
Врач;170610;3658221;Семана;2014;44
Косметолог;167975;9461414;Лас-Росас;2000;61
Бухгалтер;77158;8631509;Сьюдад-Реаль;2000;50
Менеджер;109197;8795912;Бильбао;2001;62
Учитель;198207;5582567;Тарраса;2004;50
Медсестра;77980;9124039;Ереван;2007;52
Архитектор;155234;1701962;Душанбе;2006;55
Строитель;191549;8610591;Хихон;2016;55
Оператор call-центра;33174;7511555;Навалькарнеро;2013;28
Учитель;144296;1655064;Льейда;2019;25
Архитектор;52023;9217181;Малага;2005;59
Косметолог;56838;8363319;Осера;2001;20
Программист;94062;3749144;Барселона;2000;22
Менеджер;46027;5300008;Краков;2012;45
Оператор call-центра;100636;9917282;Фигерас;2018;64
Менеджер;150063;4614218;Гранада;2014;37
Инженер;33057;4856409;Афины;2000;48
Психолог;84277;5886160;Хельсинки;2009;49
Повар;62118;2550861;Льейда;1999;46
Врач;41386;8286397;Таллин;2009;64
Косметолог;106289;4416279;Афины;2015;48
Строитель;191184;6633006;Сеговия;2002;52
Строитель;152594;4937995;Ташкент;2000;35
Косметолог;29239;7700462;Луарка;2010;32
Строитель;126726;7640316;Мурсия;2003;27
Учитель;179397;9873003;Вальядолид;2006;62
Врач;164711;3212463;Кордова;2010;21
Оператор call-центра;131228;7411420;Осера;2020;48
Врач;193843;8274023;Будапешт;2022;48
Продавец;101426;2958186;Алма-Ата;2001;31
Учитель;190905;9493787;Кадакес;2021;63
Психолог;82194;8052340;Льейда;2013;35
Косметолог;57774;1928268;Кордова;2006;53
Учитель;193953;6594789;Мартоса;2002;43
Оператор call-центра;129950;7035208;Эльче;2010;53
Строитель;94009;3704808;Авилес;2010;30
Врач;184340;3129311;Самора;2011;49
Бухгалтер;49049;4044043;Сантьяго-де-Компостела;2003;59
Бухгалтер;132572;5793444;Таллин;2002;27
Архитектор;39207;6186418;Самора;2012;24
Учитель;123878;4938312;Краков;2001;48
Водитель;199643;1243351;Сараево;2007;25
IT-специалист;167868;4223588;Мурсия;1999;24
Строитель;38038;7988182;Хельсинки;2004;30
Инженер;192851;5550139;Махадаонда;2013;28
Архитектор;162162;2287224;Ла-Корунья;2012;45
Бухгалтер;44994;1931720;Куэнка;2008;21
IT-специалист;62216;9675792;Вроцлав;2019;30
IT-специалист;124379;2882496;Тирана;2010;38
Учитель;28729;2048572;Белград;2008;25
Инженер;32324;1755199;Будапешт;2002;52
Косметолог;53848;9189808;Фигерас;2004;49
Менеджер;196462;9637808;Льейда;2002;26
Бухгалтер;84153;6260139;Кишинев;2002;30
Водитель;188161;6397481;Эльче;2010;25
Программист;74457;6357173;Сараево;2013;25
Психолог;88706;8318543;Тудела;2013;33
Программист;151124;4479291;Мурсия;1999;18
Продавец;193935;3166378;Баку;2001;46
Менеджер;130662;6391744;Аликанте;2008;27
Учитель;169775;8960950;София;2018;33
Бухгалтер;58007;2282690;Мерида;2017;38
Продавец;123914;9397149;Ла-Корунья;2010;63
Психолог;113135;9589595;Мартоса;2001;61
Инженер;135017;4329761;Душанбе;2018;20
Повар;117467;8164609;Хихон;2007;30
Водитель;154174;8527617;Касерес;2002;32
Продавец;66836;2956898;Семана;2004;27
Строитель;25447;4774628;Будапешт;2002;32
Бухгалтер;196670;8503537;Санкт-Петербург;2002;20
Повар;56327;4759022;Кадакес;2008;43
Медсестра;140894;2679687;Санхенхо;2004;49
Врач;124720;4179108;Любляна;2008;20
Менеджер;42636;1031040;Эльче;2002;51
Продавец;125995;2540126;Сория;2008;63
Менеджер;85753;2576206;Сьюдад-Реаль;2016;33
Оператор call-центра;83489;1698167;Монсон;2003;40
Бухгалтер;146904;8468845;Баку;2006;59
Повар;120929;8286567;Тбилиси;2019;56
Программист;60001;3623299;Аликанте;2019;29
Менеджер;186384;1191079;Мурсия;2015;24
Водитель;166602;5685262;Вильнюс;2018;20
Учитель;78294;8126791;Хихон;2003;30
Архитектор;192151;3456456;Рига;2003;23
Строитель;137115;3101989;Минск;2014;60
Косметолог;101975;2173757;Луарка;2011;21
Программист;71133;4850755;Монсон;2008;33
Продавец;64452;8013451;Сан-Себастьян;2017;20
Медсестра;187397;7429445;Вальядолид;2003;24
Психолог;160063;5975201;Овьедо;2006;27
Оператор call-центра;36831;3686178;Мадрид;2006;22
IT-специалист;88390;7320243;Фигерас;2020;65
Учитель;128226;5049070;Мадрид;2004;51
Бухгалтер;20665;2994738;Бильбао;2001;27
Повар;94991;3058381;Артейхо;2018;41
Водитель;66170;9999832;Мартоса;2005;20
Водитель;137088;2429530;Луарка;2002;62
Инженер;115912;1967749;Ташкент;2013;61
Менеджер;67661;6310956;Афины;2016;46
Повар;52830;8884408;Пласенсия;2021;52
Инженер;58580;8037758;Варшава;2009;23
Косметолог;20563;1459307;Эль-Пуэрто-де-Санта-Мария;2016;35
Менеджер;111073;8897891;Белград;2010;30
Менеджер;185595;3017907;Тарраса;2018;62
Повар;41640;6226077;Сараево;2005;58
Программист;74719;8461907;Белград;2020;65
Строитель;39236;1641433;Авилес;2015;32
Бухгалтер;100282;8639258;Хихон;2019;26
Инженер;138898;2729360;Сория;2010;20
Учитель;188514;7284237;Загреб;2005;26
Программист;40712;6255279;Сеговия;2009;23
Продавец;193504;5960829;Бильбао;2018;44
Врач;54723;4343990;Варшава;2017;28
Инженер;154361;2448400;Тудела;2006;18
Программист;125564;5825267;Бланес;2003;25
Менеджер;39629;8624585;Виго;2015;28
Архитектор;190464;8266322;Мадрид;2011;34
Бухгалтер;182231;4422023;Сантьяго-де-Компостела;2022;56
Учитель;176851;8985898;Кишинев;2007;24
Программист;25252;6953037;Прага;2017;49
Оператор call-центра;33985;3965162;Касерес;2016;34
Повар;102730;3351290;Тбилиси;2010;42
Водитель;95514;9650799;Пласенсия;1999;31
Архитектор;29870;5207723;Сьюдад-Реаль;2019;39
Оператор call-центра;101966;5643146;Вальядолид;2019;43
Инженер;80352;5097630;Сория;2012;49
Психолог;49131;2133835;Краков;2022;51
Продавец;199431;7333295;Осера;2014;31
Врач;97897;9200367;Варшава;2009;24
Медсестра;110938;9137386;Ла-Корунья;2017;61
Менеджер;39735;9511666;Аликанте;2020;41
Врач;28740;7813139;Душанбе;2000;21
Оператор call-центра;87254;6014676;Гранада;2020;51
Косметолог;31339;1280161;Мерида;2015;45
Повар;44692;4568611;Махадаонда;2021;56
Программист;163814;5355606;София;2008;33
Менеджер;112648;2321317;Барселона;2022;51
Медсестра;36963;3798980;Мартоса;2004;36
Водитель;111610;7737215;Мерида;2022;48
Оператор call-центра;45984;7914469;Сьюдад-Реаль;2022;34
Врач;186955;9006056;Алма-Ата;2013;62
Повар;141363;9834699;Авилес;2013;36
Менеджер;89299;2250768;Луарка;2007;33
Менеджер;41761;1980261;Авилес;2004;42
Косметолог;119310;7288612;Артейхо;2015;21
Учитель;53146;8836899;Тудела;2018;64
Учитель;29139;4379425;Кадакес;2008;44
Психолог;131620;8811943;Ереван;2013;44
Медсестра;146586;9890577;Любляна;2011;51
Оператор call-центра;23182;2803674;Куэнка;2014;18
Инженер;183314;9650169;Эльче;2009;37
Медсестра;54976;6763128;Рига;2015;25
Программист;177941;8029723;Семана;2014;61
Строитель;132053;7371699;Мурсия;2016;48
Косметолог;172965;1335869;Москва;2008;57
Строитель;153022;9176145;Самора;2015;45
Психолог;58005;1426307;Санхенхо;2020;38
Бухгалтер;108056;9454274;Аликанте;2019;64
Строитель;140633;1741861;Хельсинки;2013;37
Инженер;150799;8702762;Алма-Ата;2005;28
Архитектор;98458;9684562;Бланес;2018;34
Водитель;64511;8704103;Кишинев;2020;57
Психолог;137379;2352130;Камбадос;2014;43
Психолог;81429;6747591;Кордова;2019;20
Медсестра;96498;6244206;Сьюдад-Реаль;2012;61
Инженер;53256;1053976;Белград;2015;52
Менеджер;149096;4210993;Валенсия;2003;20
Бухгалтер;32732;6222461;Сория;1999;48
Водитель;172166;9529830;Сараево;2002;57
Бухгалтер;131337;3750017;Артейхо;2005;65
Оператор call-центра;133782;3683816;Санхенхо;2022;35
Водитель;169398;2124612;Минск;2014;39
Повар;74382;6448100;Осера;2009;43
Психолог;117442;9138619;Сеговия;2005;63
Инженер;87272;5784047;Бильбао;2003;26
Водитель;106472;5039190;Монсон;1999;43
Инженер;163140;6150178;Пласенсия;2010;30
Врач;171794;5788589;Астана;2012;26
Повар;44568;9221796;Пласенсия;2007;61
Архитектор;84916;4674072;Афины;2006;18
Строитель;106820;4220578;Санхенхо;2001;55
Оператор call-центра;35252;3900546;Вильнюс;2013;29
Косметолог;188440;2587429;Фигерас;2003;31
Продавец;104271;5008525;Навалькарнеро;2020;37
Медсестра;80765;2871104;Бишкек;2013;42
Менеджер;114152;6013988;Осера;2016;58
Повар;116514;1503187;Мартоса;2017;60
IT-специалист;89546;6174963;Афины;2010;61
Менеджер;89378;8353329;Пласенсия;2022;28
Учитель;20441;9809614;Хихон;2007;53
Повар;31391;9875532;Минск;2002;27
Продавец;48319;8284601;Камбадос;2004;41
IT-специалист;182905;1815735;Мерида;2022;24
Повар;170611;6137681;Картахена;2019;23
Повар;142952;3563141;Сория;2022;46
Медсестра;151456;7908350;Ереван;2021;28
Архитектор;127308;5232823;Афины;2018;44
Менеджер;50016;4162595;Астана;2009;31
Врач;160664;4047390;Пласенсия;2020;30
Косметолог;143537;8907432;Мартоса;2005;40
Бухгалтер;140367;9934965;Кадакес;2003;36
Врач;146336;6228332;Будапешт;2000;56
Учитель;78276;8585755;Любляна;2008;25
Менеджер;42087;3178414;Алькала-де-Энарес;2010;58
Водитель;61149;7914224;Гранада;2009;28
Психолог;158302;9279650;Мерида;2013;24
Повар;95087;3065027;Загреб;2005;36
Психолог;150040;4873645;Артейхо;2007;60
Медсестра;21962;1779997;Санхенхо;2021;30
Психолог;93045;5415541;Будапешт;2012;42
IT-специалист;57719;5012936;Хихон;2018;39
Оператор call-центра;142498;7931396;Сан-Себастьян;2015;37
Бухгалтер;141010;9173916;Хихон;2013;63
Врач;158212;7340795;Скопье;2007;20
Оператор call-центра;126287;4321878;Мурсия;2005;27
Психолог;112385;9896533;Севилья;2004;58
Косметолог;121611;3971952;Любляна;2015;60
Оператор call-центра;173743;1023541;Фигерас;2003;26
Архитектор;20169;3903039;Кишинев;2008;35
Оператор call-центра;121777;4365189;Мерида;2019;40
Бухгалтер;153620;2724211;Душанбе;1999;41
Продавец;163254;7617156;Афины;2019;19
Менеджер;82262;6267434;Куэнка;2000;33
Строитель;192189;9760697;Кадакес;2005;45
Программист;66653;3665088;Барселона;2006;31
Продавец;104063;3232548;Краков;2022;57
Продавец;39984;3374279;Барселона;2013;27
Водитель;98969;3456176;Хихон;2009;60
Учитель;87347;8470984;Санхенхо;2015;28
Психолог;154520;1057545;Осера;2010;46
Программист;174084;5431510;Кадакес;2011;27
Косметолог;45368;9668729;Луарка;2013;53
Повар;108587;4709817;Ереван;2003;25
Врач;167304;3842667;Сараево;2004;18
Врач;175866;3684415;Гранада;2010;64
Бухгалтер;70171;1670289;Бишкек;1999;56
Косметолог;160171;2826824;Мерида;2010;58
Медсестра;60507;3735490;Загреб;1999;30
Оператор call-центра;113438;6526611;Хихон;2002;30
Архитектор;196738;1166098;Сеговия;2007;29
Врач;168521;5267000;Валенсия;2001;48
Психолог;153768;4001589;Сория;2006;26
Врач;29346;2399904;Сьюдад-Реаль;1999;23
Архитектор;55070;7495291;Тудела;2014;62
Бухгалтер;88611;6455366;Севилья;2022;59
Психолог;194628;9792177;Барселона;2011;26
Повар;38929;7554076;Тудела;2001;50
Оператор call-центра;182435;7855918;Ереван;2021;60
Врач;22857;2320650;Навалькарнеро;2008;30
Строитель;31508;9198602;Афины;2021;41
Оператор call-центра;110572;1427378;Рига;2019;65
Учитель;173805;2367399;Эль-Пуэрто-де-Санта-Мария;2000;42
Строитель;93766;2131613;Луарка;2014;25
Программист;176973;1899169;Эль-Пуэрто-де-Санта-Мария;2002;30
Бухгалтер;162363;7352168;Тбилиси;2011;34
Психолог;128268;6753462;Хихон;2008;27
IT-специалист;177318;8543331;Куэнка;2012;31
Косметолог;60263;4641536;Кадакес;2007;41
Инженер;99381;4569447;Осера;2021;34
Бухгалтер;28508;1560214;Хельсинки;2013;38
Строитель;151717;1959384;Мурсия;2002;54
Косметолог;64909;6207714;Любляна;2004;20
Строитель;119642;2708521;Пласенсия;2015;23
Косметолог;107427;7351679;Бланес;2005;23
Строитель;111024;2835032;Валенсия;2005;42
Косметолог;103136;9891664;Камбадос;2009;26
Программист;123122;4552289;Сория;2008;63
Инженер;70904;3252589;Душанбе;2020;39
Программист;71208;5848199;Баку;2004;28
Врач;102873;3917993;Баку;2011;65
Оператор call-центра;175024;9101578;Баку;2006;41
Психолог;157496;7536977;Эль-Пуэрто-де-Санта-Мария;2015;47
Психолог;50379;4823201;Вильнюс;2005;34
Медсестра;126931;1579664;Кордова;2017;19
Менеджер;74523;3283312;Навалькарнеро;2020;36
Оператор call-центра;150042;6779486;Прага;2013;19
Продавец;118052;2330878;Подгорица;2008;30
Оператор call-центра;62403;5706226;Рига;2018;58
Инженер;125547;9019372;Махадаонда;1999;33
Менеджер;136898;8017486;Овьедо;2007;18
Водитель;118607;5079031;Алма-Ата;2021;28
Инженер;152455;9162632;Бургос;2003;44
Косметолог;120441;2735102;Барселона;2018;44
Бухгалтер;184363;3258673;Артейхо;2016;20
Косметолог;125631;6495247;Вильявисиоса;2005;62
Бухгалтер;36038;6402766;Варшава;2014;19
Водитель;77124;6457274;Осера;2010;26
Медсестра;103344;7292337;Тбилиси;2009;37
Врач;127024;9579223;Бланес;2006;44
Врач;51868;9527366;Душанбе;2006;19
Строитель;92082;7814995;Мартоса;2003;42
Инженер;49044;2611913;Скопье;2020;48
Учитель;81258;2591648;Белград;2005;19
Оператор call-центра;104073;1752606;Сьюдад-Реаль;2003;31
Водитель;88429;9833522;Луго;2012;22
Продавец;169923;5834837;Кишинев;2003;56
Учитель;50094;9832631;Тирана;2016;33
Медсестра;70187;9894652;Сараево;2021;63
Косметолог;112944;8123787;Трухильо;1999;19
Архитектор;45517;8341386;Алма-Ата;2017;31
Бухгалтер;53604;5951460;Хельсинки;2022;22
Учитель;75484;5183195;Кордова;2020;58
Косметолог;156265;3864897;Севилья;2013;39
Оператор call-центра;87042;1189103;Овьедо;2014;19
Бухгалтер;179285;9913508;Фигерас;2015;59
Инженер;151943;8013078;Аликанте;2012;62
